"uid","hh_in_r2","hh_in_r3","hh_in_r3_d2","refugee","num_child_base","num_child_r2","num_child_r3","hh_head_sex","hh_head_age","parent_edu_r2","parent_edu_r3","hh_asset_index","hh_asset_index_2017","hh_asset_value","hh_asset_value_2017","hh_cons_agg","hh_cons_capita","hh_income","cantril","parent_eduyears_r2","parent_reledu_r2","parent_eduyears_r3","parent_reledu_r3","distancekmfromcamps","eld_sex_r2","eld_sex_r3","eld_age_r2","eld_age_r3","eld_edu_ambition_r2","eld_edu_ambition_r3","eld_eduyears_r2","eld_eduyears_r3","eld_reledu_r2","eld_reledu_r3","eld_trauma_exp_r2","eld_trauma_exp_r3","eld_trauma_heard_r2","eld_trauma_heard_r3","eld_trauma_witness_r2","eld_trauma_witness_r3","eld_e01_currently_studying_r2","eld_e01_currently_studying_r3","eld_e01_edu_status__r2","eld_e01_edu_status__r3","edu_status_diff","int_sex_r2","int_sex_r3","int_age_r2","int_age_r3","int_eduyears_r2","int_eduyears_r3","int_reledu_r2","int_reledu_r3","int_trauma_exp_r2","int_trauma_exp_r3","int_trauma_heard_r2","int_trauma_heard_r3","int_trauma_witness_r2","int_trauma_witness_r3"
"C601001012",0,1,0,1,2,NA,0,0,26,NA,NA,-1.42653548717499,-1.11375379562378,0.52,1.55890986328125,1.11666664248332e-05,2.79166661202908e-06,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,26,NA,4,NA,0,NA,5,NA,0,NA,3
"C601001013",1,1,0,1,2,0,0,0,22,NA,NA,-0.934252798557281,4.91408348083496,0.67,63.08361875,0.031786499999743,0.00794662475585937,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,20,22,0,0,1,0,3,4,5,3,3,4
"C601001014",1,0,0,1,6,6,NA,0,35,NA,NA,-1.51709091663361,1.24606502056122,0.8,12.0694953125,0.00504050000011921,0.000630062484741211,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002001",0,0,0,1,2,NA,NA,0,71,NA,NA,-0.565507650375366,1.03377330303192,1.55,10.78256328125,0.0116476286517456,0.00291190719604492,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002002",0,0,0,1,1,NA,NA,1,20,NA,NA,-0.932726144790649,-1.72703647613525,0.37,1.052684375,1.34999996982515e-05,6.74999952316284e-06,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002003",0,1,0,1,3,NA,2,0,21,NA,NA,-1.51709091663361,3.05665588378906,0.37,47.285834375,0.00400045000002719,0.00100011253356934,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,16,NA,0,NA,1,NA,4,NA,0,NA,6
"C601002004",1,1,0,1,4,4,4,0,16,NA,NA,-1.86557650566101,0.388901710510254,0.33,2.9518109375,0.0170017604166642,0.00340035209655762,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,16,35,0,0,0,0,3,0,3,4,5,8
"C601002005",0,0,0,1,4,NA,NA,0,30,NA,NA,-0.257842838764191,2.51967263221741,0.58,60.10323125,0.0230819999988191,0.00384700012207031,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002006",1,1,0,1,2,0,0,1,20,NA,NA,-1.24191761016846,1.01177895069122,1,2.0531732421875,0.0123333000002429,0.00308332500457764,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,20,22,0,0,0,0,2,2,3,2,1,6
"C601002007",0,0,0,1,2,NA,NA,1,20,NA,NA,-2.14074969291687,-2.38677191734314,0.8,2.56698515625,0.049546040000068,0.0123865097045898,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002008",1,1,1,1,9,8,7,0,45,NA,1,-1.46433985233307,4.90195894241333,0.43,101.892175,0.117000400000019,0.0106363998413086,0,3,NA,NA,0,0,NA,NA,1,NA,40,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,8,NA,NA,NA,NA,NA,1,1,18,40,4,0,0,0,0,0,6,4,6,8
"C601002009",1,0,0,1,5,5,NA,1,46,1,NA,-0.565507650375366,1.17558133602142,1.44,2.36900625,1.68333326466382e-05,2.80555542558432e-06,0.074,NA,0,0,NA,NA,NA,0,NA,14,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,46,NA,0,NA,0,NA,6,NA,3,NA,3,NA
