"uid","hh_in_r2","hh_in_r3","hh_in_r3_d2","refugee","num_child_base","num_child_r2","num_child_r3","hh_head_sex","hh_head_age","parent_edu_r2","parent_edu_r3","hh_asset_index","hh_asset_index_2017","hh_asset_value","hh_asset_value_2017","hh_cons_agg","hh_cons_capita","hh_income","cantril","parent_eduyears_r2","parent_reledu_r2","parent_eduyears_r3","parent_reledu_r3","distancekmfromcamps","eld_sex_r2","eld_sex_r3","eld_age_r2","eld_age_r3","eld_edu_ambition_r2","eld_edu_ambition_r3","eld_eduyears_r2","eld_eduyears_r3","eld_reledu_r2","eld_reledu_r3","eld_trauma_exp_r2","eld_trauma_exp_r3","eld_trauma_heard_r2","eld_trauma_heard_r3","eld_trauma_witness_r2","eld_trauma_witness_r3","eld_e01_currently_studying_r2","eld_e01_currently_studying_r3","eld_e01_edu_status__r2","eld_e01_edu_status__r3","edu_status_diff","int_sex_r2","int_sex_r3","int_age_r2","int_age_r3","int_eduyears_r2","int_eduyears_r3","int_reledu_r2","int_reledu_r3","int_trauma_exp_r2","int_trauma_exp_r3","int_trauma_heard_r2","int_trauma_heard_r3","int_trauma_witness_r2","int_trauma_witness_r3"
"C714080007",1,1,1,1,3,3,3,0,25,1,1,-2.14074969291687,1.7310563325882,0.9,50.864340625,0.0400334999999031,0.00800670013427734,0.12,3,0,0,0,0,NA,NA,0,NA,25,NA,NA,NA,0,NA,0,NA,2,NA,0,NA,9,NA,NA,NA,NA,NA,0,1,25,24,0,0,0,0,2,3,0,0,9,8
"C714080008",0,0,0,1,7,NA,NA,0,35,NA,NA,-1.18916654586792,-2.4968318939209,0.52,2.7248298828125,0.00755049999924377,0.000838944435119629,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714080009",0,0,0,1,2,NA,NA,0,60,NA,NA,-2.14074969291687,3.05665588378906,0.6,49.7206625,0.0300504999990575,0.0060101001739502,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714080010",1,1,1,1,5,4,4,0,36,1,1,-1.80266797542572,5.26822090148926,0.1,63.778025,0.0515388500001282,0.00736269302368164,0.07,4,0,0,0,0,NA,1,1,7,27,2,NA,4,0,0,0,NA,6,NA,1,NA,5,0,NA,1,NA,1,0,0,36,36,0,0,0,0,8,8,1,1,3,3
"C714080011",0,0,0,1,3,NA,NA,1,45,NA,NA,-2.14074969291687,2.09276843070984,1.4,51.97946875,0.0150279999995604,0.00375699996948242,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714080012",0,0,0,1,2,NA,NA,0,60,NA,NA,-1.68106305599213,2.2100944519043,0.3,48.9823875,0.00602389999995939,0.00200796661376953,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714080013",0,0,0,1,2,NA,NA,0,24,NA,NA,-1.73342776298523,-2.9924795627594,0.25,0.05,0.003,0.00075,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714081001",1,0,0,1,2,1,NA,0,22,2,NA,-1.18916654586792,0.88096010684967,0.55,74.51290625,0.0130448333317414,0.00326120834350586,0.3,NA,4,0,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,22,NA,4,NA,0,NA,1,NA,4,NA,7,NA
"C714081002",0,1,0,1,5,NA,4,0,38,NA,NA,-1.51670455932617,-3.13308811187744,0.51,0,0.0914540000000037,0.0130648574829102,0.28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15,NA,4,NA,0,NA,1,NA,0,NA,0
"C714081003",1,1,1,1,6,6,6,0,30,1,1,-2.14074969291687,1.00615644454956,1.5,13.129059375,0.0100159999996424,0.00125200004577637,0.2,1,0,0,0,0,NA,1,1,10,30,3,NA,4,0,0,0,NA,3,NA,3,NA,4,1,NA,0,NA,-1,1,1,30,30,0,0,0,0,3,3,3,3,4,4
"C714081004",1,1,1,1,2,2,2,0,75,NA,1,-1.18916654586792,-2.51767420768738,0.3,0.162155285644531,0.00902599999951199,0.00225650005340576,0.085,4,NA,NA,0,0,NA,NA,1,NA,40,NA,NA,NA,0,NA,0,NA,4,NA,6,NA,2,NA,NA,NA,NA,NA,0,0,75,75,0,0,0,0,10,10,1,1,1,1
"C714081005",1,1,0,1,2,0,0,0,22,NA,NA,-1.24153137207031,-2.87787461280823,0.67,0.17,0.0158019999999553,0.00395050010681152,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22,22,0,0,0,0,0,0,3,3,9,9
"C714081006",1,1,1,1,2,1,1,0,31,1,1,-1.18916654586792,0.868330359458923,1.074,60.0276875,0.0235170000002719,0.00587924995422363,0.02,3,0,0,0,0,NA,0,1,3,20,3,NA,NA,0,NA,0,NA,4,NA,2,NA,2,0,NA,0,NA,0,0,0,31,31,0,0,0,0,3,3,5,5,2,2
"C714081007",0,1,1,1,2,NA,1,0,60,NA,1,-2.14074969291687,1.65669894218445,1.8,49.729,0.034015000000596,0.00850374984741211,0.5,5,NA,NA,0,0,NA,NA,0,NA,60,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17,NA,0,NA,0,NA,3,NA,4,NA,4
"C714081008",0,0,0,1,3,NA,NA,1,40,NA,NA,-2.63264632225037,2.06948590278625,0.35,48.908509375,0.00402649999968708,0.00100662498474121,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714081009",1,1,1,1,2,1,1,0,27,4,4,-1.18916654586792,0.799305140972137,0.55,49.372053125,0.070138242528215,0.0175345611572266,1.26,3,9,0,9,0,NA,1,0,4,27,2,NA,NA,9,NA,0,NA,1,NA,6,NA,5,1,NA,1,NA,0,0,0,27,27,9,9,0,0,1,1,6,6,5,5
"C714081010",0,0,0,1,2,NA,NA,0,35,NA,NA,-2.35747289657593,2.06948590278625,0.15,48.9406875,0.00800809999986086,0.00200202503204346,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714081011",0,0,0,1,7,NA,NA,0,40,NA,NA,-0.606714725494385,0.847115278244019,0.65,48.865371875,0.0680519999999553,0.00756133346557617,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714081012",1,1,0,1,3,2,2,0,30,NA,NA,-1.18916654586792,-2.22178220748901,0.33,0.102128479003906,0,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,25,NA,0,NA,1,NA,1,NA,5,NA,6,NA
"C714081013",1,1,0,1,2,2,1,1,60,NA,NA,-2.63264632225037,1.53393411636353,0.41,14.9236546875,0.0025019999999553,0.000625500011444092,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,75,17,0,4,0,0,1,0,0,0,4,1
"C714082001",1,1,1,1,4,3,3,0,40,NA,1,-1.46433985233307,2.16193747520447,1.02,49.607175,0.0185024999999441,0.00308374996185303,0,4,NA,NA,0,0,NA,NA,1,NA,35,NA,NA,NA,0,NA,0,NA,3,NA,5,NA,4,NA,NA,NA,NA,NA,0,1,40,35,0,0,0,0,3,3,4,5,5,4
"C714082002",0,0,0,1,2,NA,NA,0,21,NA,NA,-1.86557650566101,0.208983555436134,0.35,39.839140625,0.0155497000004863,0.00388742485046387,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714082003",1,1,0,1,2,1,0,0,19,NA,NA,-2.14074969291687,1.57250511646271,1.5,49.058509375,4.20000001788139e-05,1.40000000596046e-05,0.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,19,18,0,0,0,0,2,4,1,3,8,5
"C714082004",0,0,0,1,2,NA,NA,0,24,NA,NA,-1.86557650566101,-3.13308811187744,0.35,0,1.49999996647239e-05,3.74999977648258e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714082005",1,1,1,1,3,2,2,0,30,1,1,-1.51670455932617,3.61224317550659,1.9,86.9703,0.255735666669719,0.0426226104736328,0.6,3,0,0,0,0,NA,1,0,5,30,3,NA,4,0,0,0,NA,3,NA,1,NA,6,0,NA,1,NA,1,0,0,30,30,0,0,0,0,3,3,1,1,6,6
"C714082006",0,0,0,1,4,NA,NA,0,30,NA,NA,-1.80266797542572,0.965154051780701,0.15,74.486025,6.62499989150092e-05,1.10416665673256e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714082007",0,0,0,1,5,NA,NA,0,48,NA,NA,-1.95623624324799,3.60199046134949,0.9,52.064575,0.0186024000000209,0.0026574857711792,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714082008",1,1,0,1,5,5,0,0,55,NA,NA,-2.35747289657593,-3.13308811187744,0.2,0,0.0175,0.0021875,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,55,55,0,0,0,0,6,6,0,0,0,0
"C714082009",1,1,0,1,3,1,2,0,35,NA,NA,-1.86557650566101,-3.01848316192627,0.25,0.05,2.50000007450581e-05,5.00000007450581e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,30,0,0,0,0,4,4,2,2,0,0
"C714082010",1,1,1,1,5,5,4,1,45,1,1,-2.14074969291687,1.02840638160706,1.4,3.79051328125,0.0460159999996424,0.00766933364868164,0.4,4,0,0,0,0,NA,0,1,18,45,4,NA,4,0,0,0,1,4,1,1,9,6,1,NA,NA,NA,NA,1,1,45,45,0,0,0,0,4,4,1,1,6,6
"C714082011",1,1,1,1,4,2,2,0,35,NA,1,-2.35747289657593,-0.603092551231384,0.15,39.5772875,0.0120275333329802,0.00200458889007568,0.07,3,NA,NA,0,0,NA,NA,0,NA,35,NA,NA,NA,0,NA,0,NA,8,NA,2,NA,2,NA,NA,NA,NA,NA,1,0,25,35,0,0,0,0,8,8,3,2,1,2
"C714082012",0,0,0,1,1,NA,NA,0,19,NA,NA,-1.18916654586792,1.08442258834839,0.53,11.759059375,0.00255900000184774,0.000852999973297119,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C714082013",1,1,1,1,4,3,0,0,55,NA,1,-1.86557650566101,-3.13308811187744,0.85,0,0.0460044999998063,0.00766741638183594,0.7,4,NA,NA,0,0,NA,NA,0,NA,55,NA,NA,NA,0,NA,0,NA,5,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,55,NA,0,NA,0,NA,5,NA,1,NA,0
"C715083001",1,1,1,1,3,3,3,0,30,4,2,-2.14074969291687,2.38865518569946,0.4,49.179,3.20000002160668e-05,6.40000030398369e-06,0.7,4,9,0,4,0,NA,NA,1,NA,25,NA,NA,NA,4,NA,0,NA,6,NA,1,NA,1,NA,NA,NA,NA,NA,0,1,30,25,9,4,0,0,9,6,0,1,1,1
"C715083002",0,0,0,1,4,NA,NA,0,50,NA,NA,-1.18916654586792,2.01473069190979,0.7,88.5581125,2.09999984130263e-05,3.49999964237213e-06,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C715083003",1,1,1,1,3,3,2,0,45,1,1,-0.565507650375366,-2.65828275680542,1.08,0.08,0.00176064999992959,0.000352130007743835,0.13,4,0,0,0,0,NA,1,1,15,36,NA,NA,4,0,0,0,5,2,1,3,0,4,0,NA,NA,NA,NA,NA,1,NA,15,NA,4,NA,0,NA,5,NA,1,NA,0
"C715083004",1,1,0,1,6,6,5,0,58,NA,NA,-0.840294659137726,1.52679669857025,1.08,45.568490625,0.0377884000005666,0.00472355003356934,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,15,0,0,1,1,2,2,3,3,3,3
"C715083005",1,1,0,1,2,1,0,0,26,NA,NA,0.0169441737234592,1.29649865627289,2.91,48.9637625,0.0411115000003017,0.0102778747558594,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,22,22,4,4,0,0,5,5,2,2,2,2
"C715083006",1,1,1,1,3,3,3,0,45,NA,2,-0.258229106664658,5.81750965118408,2.85,107.874725,0.0895310000000987,0.0179061996459961,1.235,2,NA,NA,4,0,NA,NA,0,NA,45,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18,43,4,0,0,0,8,7,0,0,3,4
"C715083007",1,1,0,1,0,0,0,0,60,NA,NA,-0.565507650375366,2.2100944519043,1.35,49.991028125,0.00300599999986589,0.00150299997329712,0.037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,60,50,0,0,0,0,7,5,2,1,2,4
"C715083008",1,1,1,1,3,3,3,0,40,NA,2,-1.18916654586792,0.603348553180695,0.75,49.237175,9.45500014349818e-05,1.89099997282028e-05,0.5,3,NA,NA,4,0,NA,NA,1,NA,35,NA,NA,NA,4,NA,0,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,1,1,35,35,4,4,0,0,3,3,4,4,2,2
"C715083009",0,0,0,1,0,NA,NA,1,50,NA,NA,-2.35747289657593,-0.755277216434479,0.25,11.4476234375,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C715083011",1,1,1,1,3,1,0,0,25,NA,2,-1.28312468528748,1.82453370094299,0.5,22.8272890625,0.0132602499997709,0.00265205001831055,1.005,1,NA,NA,4,0,NA,NA,0,NA,25,NA,NA,NA,4,NA,0,NA,3,NA,1,NA,8,NA,NA,NA,NA,NA,0,0,25,25,4,4,0,0,3,3,1,1,8,8
"C715083012",0,1,0,1,9,NA,8,0,45,NA,NA,-0.701294183731079,1.82389068603516,1.59,49.705371875,0.00800724999899976,0.000727931833267212,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,45,NA,0,NA,1,NA,2,NA,5,NA,2
"C715083013",0,0,0,1,3,NA,NA,0,33,NA,NA,-0.840680956840515,0.656532049179077,1.05,57.4997375,0.00701280000014231,0.00140256004333496,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C715083014",1,1,1,1,5,4,4,0,40,NA,1,-1.48831331729889,4.86678266525269,0.5,91.227275,0.147005999999866,0.0210008575439453,1.12,3,NA,NA,0,0,NA,NA,1,NA,30,NA,NA,NA,0,NA,0,NA,5,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,30,30,0,0,0,0,5,5,1,1,2,2
"C716084001",1,1,0,1,2,1,1,0,65,NA,NA,-2.63264632225037,0.570170700550079,0.35,13.6338453125,0.00850399999991059,0.00212600002288818,0.105,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,20,0,0,0,0,2,2,0,0,3,3
"C716084002",0,0,0,1,6,NA,NA,0,40,NA,NA,-1.55829799175262,3.4961838722229,1.54,61.38043125,0.0280530499985442,0.00350663108825684,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716084003",0,0,0,1,4,NA,NA,0,60,NA,NA,-1.86557650566101,-3.34813499450684,0.3,0.3,0,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716084004",1,1,0,1,2,1,2,0,77,2,NA,-2.35747289657593,-3.13308811187744,0.15,0,0.0465560000006109,0.0155186660766602,0.2,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,77,NA,0,NA,0,NA,0,NA,1,NA,0
"C716084005",1,1,0,1,2,1,1,0,20,NA,NA,-2.14074969291687,-2.52150225639343,0.9,0.5,0.012,0.004,0.06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,20,0,0,0,0,2,2,3,3,2,2
"C716084006",1,1,1,1,4,4,4,0,55,1,1,-0.840294659137726,-1.37989580631256,0.44,8.93955546875,0.0577027999997139,0.00824325714111328,0.25,4,0,0,0,0,NA,NA,1,NA,42,NA,NA,NA,0,NA,0,NA,1,NA,3,NA,6,NA,NA,NA,NA,NA,0,1,15,42,0,0,0,0,1,1,4,3,1,6
"C716084007",1,1,0,1,1,0,0,0,22,NA,NA,-2.14074969291687,-3.2428572177887,0.52,1.7282826171875,0.01,0.00333333320617676,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,22,19,0,0,0,0,7,2,2,5,3,5
"C716084008",1,0,0,1,7,6,NA,0,45,NA,NA,-2.00860095024109,2.2100944519043,0.39,49.028509375,0.0286643616946414,0.00318492908477783,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"C716084009",1,1,1,1,2,1,1,0,25,NA,1,-2.14074969291687,2.06948590278625,0.44,48.838509375,0.00892159080486745,0.002230397605896,0.011,1,NA,NA,0,0,NA,NA,1,NA,24,NA,NA,NA,0,NA,0,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,1,0,24,25,0,0,0,0,2,4,2,1,3,4
"C716084010",0,1,0,1,1,NA,1,0,19,NA,NA,-1.86557650566101,-3.01848316192627,0.17,0.02,0.0357810000021011,0.0178904998779297,0.06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,19,NA,0,NA,0,NA,0,NA,0,NA,0
"C716084011",1,1,1,1,2,2,2,0,23,1,1,-1.86557650566101,4.55816173553467,0.53,107.4248125,0.0540449999991804,0.0135112503051758,0.394,2,0,0,0,0,NA,1,0,5,23,4,NA,4,0,0,0,NA,2,NA,2,NA,2,1,NA,0,NA,-1,0,0,23,23,0,0,0,0,2,2,2,2,2,2
"C716084012",0,0,0,1,0,NA,NA,1,90,NA,NA,-1.73381400108337,-2.15390300750732,0.7,37.508996875,0.0100189999999478,0.0100190002441406,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716084013",1,1,1,1,2,2,0,0,50,NA,1,-2.14074969291687,-2.40689730644226,0.22,0.07,0.0155355000005104,0.00388387489318848,0.25,2,NA,NA,0,0,NA,NA,0,NA,50,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,16,16,0,0,0,0,0,0,1,1,0,0
"C716085001",0,0,0,1,1,NA,NA,1,72,NA,NA,-1.24191761016846,-2.52738046646118,0.76,0.56,0.00401299999980256,0.00200650005340576,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716085002",1,1,0,1,4,4,3,0,72,1,NA,-2.35747289657593,-3.13308811187744,0.05,0,7.49999992549419e-06,1.25000001862645e-06,0,NA,0,0,NA,NA,NA,1,NA,17,NA,2,NA,0,NA,0,NA,0,NA,3,NA,0,NA,1,NA,NA,NA,NA,0,1,72,17,0,0,0,0,0,0,5,3,0,0
"C716085003",1,1,1,1,4,3,3,0,34,NA,6,-1.18916654586792,4.30401229858398,0.655,57.10429375,0.00605833333302289,0.0010097222328186,0.2205,2,NA,NA,0,1,NA,NA,0,NA,34,NA,NA,NA,0,NA,1,NA,3,NA,1,NA,4,NA,NA,NA,NA,NA,1,0,30,34,4,0,0,1,1,3,2,1,3,4
"C716085004",0,0,0,1,3,NA,NA,0,25,NA,NA,-1.51670455932617,-2.26628875732422,0.42,0.22,0.043,0.0086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716085005",1,0,0,1,2,2,NA,1,27,1,NA,-1.06448864936829,1.16786730289459,40.2,90.2896,0.00903499999996275,0.00301166667938232,0.15,NA,0,0,NA,NA,NA,0,NA,7,NA,3,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716085006",0,0,0,1,2,NA,NA,0,30,NA,NA,-0.840680956840515,-2.52738046646118,1.9,1.5,0.0248002999990247,0.00620007514953613,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C716085007",1,1,1,1,4,5,5,0,31,NA,2,-0.737042307853699,4.06544351577759,10.21,63.9993875,0.0185479999996722,0.00309133338928223,0.4,3,NA,NA,4,0,NA,NA,0,NA,31,NA,NA,NA,4,NA,0,NA,0,NA,4,NA,0,NA,0,NA,0,NA,0,1,31,30,4,0,0,0,0,0,4,5,0,0
"C716085008",1,1,0,1,0,0,0,0,72,NA,NA,-1.05740404129028,-2.64198541641235,0.75,0.5,0.0262717996191233,0.0131358993530273,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,55,NA,0,NA,1,NA,2,NA,1,NA,6,NA
"C716085009",1,0,0,1,1,1,NA,0,60,NA,NA,-1.51709091663361,-2.52738046646118,0.95,0.6,0.0239340999991633,0.00598352508544922,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50,NA,0,NA,1,NA,1,NA,3,NA,6,NA
"C716085010",1,0,0,1,2,2,NA,1,55,NA,NA,-1.86557650566101,-2.18544340133667,0.8,1.07430556640625,0.0302035000000149,0.00604070014953613,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,55,NA,0,NA,0,NA,4,NA,0,NA,5,NA
"C716085011",1,1,1,1,4,4,4,0,29,1,1,-2.14074969291687,2.19577598571777,0.17,60.4863375,0.0130119999997318,0.00216866664886475,0.37,3,0,0,0,0,NA,1,1,12,27,NA,NA,0,0,0,0,NA,0,NA,6,NA,0,0,NA,0,NA,0,0,1,29,27,0,0,0,0,0,0,4,6,0,0
"C716085012",1,1,1,1,5,3,3,0,35,1,1,-0.565507650375366,-2.16718006134033,0.81,0.61,0.0115,0.00164285717010498,0.25,3,0,0,0,0,NA,1,0,9,35,1,NA,0,0,1,0,NA,4,NA,2,NA,5,1,NA,1,NA,0,0,0,35,35,0,0,0,0,4,4,2,2,5,5
